iter	Passed	Remaining
242	1466	4569
243	1471	4558
244	1476	4548
245	1481	4540
246	1486	4530
247	1490	4520
248	1496	4512
249	1501	4503
250	1506	4494
251	1511	4486
252	1516	4477
253	1521	4467
254	1526	4460
255	1533	4456
256	1540	4452
257	1546	4448
258	1551	4440
259	1557	4432
260	1563	4427
261	1568	4418
262	1573	4409
263	1579	4403
264	1584	4395
265	1589	4385
266	1594	4377
267	1600	4370
268	1604	4361
269	1610	4354
270	1615	4346
271	1620	4338
272	1626	4330
273	1631	4322
274	1636	4313
275	1640	4304
276	1646	4296
277	1650	4287
278	1655	4278
279	1660	4271
280	1665	4262
281	1670	4253
282	1676	4246
283	1680	4237
284	1685	4228
285	1690	4219
286	1695	4211
287	1699	4202
288	1704	4193
289	1710	4188
290	1716	4181
291	1722	4175
292	1728	4170
293	1734	4164
294	1740	4160
295	1746	4154
296	1752	4147
297	1758	4142
298	1763	4135
299	1769	4127
300	1774	4121
301	1780	4115
302	1786	4108
303	1793	4105
304	1798	4098
305	1803	4090
306	1809	4085
307	1814	4077
308	1821	4072
309	1826	4066
310	1832	4059
311	1837	4052
312	1843	4045
313	1848	4038
314	1853	4031
315	1859	4025
316	1865	4019
317	1871	4013
318	1876	4006
319	1881	3998
320	1887	3992
321	1893	3986
322	1898	3980
323	1904	3973
324	1909	3965
325	1914	3957
326	1918	3948
327	1923	3941
328	1929	3935
329	1934	3926
330	1940	3921
331	1945	3913
332	1949	3905
333	1955	3898
334	1960	3891
335	1964	3883
336	1970	3876
337	1975	3868
338	1980	3860
339	1985	3854
340	1991	3848
341	1996	3841
342	2002	3835
343	2007	3827
344	2011	3819
345	2017	3812
346	2022	3805
347	2026	3797
348	2032	3790
349	2037	3783
350	2042	3776
351	2047	3769
352	2052	3762
353	2058	3756
354	2063	3749
355	2068	3742
356	2074	3737
357	2080	3730
358	2085	3724
359	2091	3717
360	2095	3709
361	2100	3702
362	2106	3695
363	2111	3688
364	2115	3680
365	2121	3675
366	2126	3667
367	2130	3659
368	2135	3652
369	2141	3645
370	2145	3637
371	2150	3631
372	2155	3623
373	2160	3616
374	2165	3609
375	2171	3603
376	2175	3595
377	2180	3588
378	2186	3582
379	2190	3574
380	2195	3566
381	2200	3560
382	2205	3553
383	2210	3545
384	2215	3538
385	2219	3531
386	2224	3523
387	2229	3515
388	2234	3509
389	2239	3502
390	2243	3494
391	2248	3487
392	2253	3480
393	2258	3473
394	2262	3465
395	2267	3459
396	2272	3452
397	2277	3444
398	2282	3438
399	2287	3431
400	2291	3423
401	2296	3416
402	2301	3409
403	2306	3402
404	2310	3394
405	2315	3387
406	2320	3380
407	2324	3373
408	2329	3366
409	2335	3360
410	2340	3353
411	2345	3346
412	2350	3340
413	2355	3334
414	2360	3327
415	2365	3320
416	2370	3313
417	2375	3307
418	2380	3300
419	2384	3293
420	2389	3286
421	2394	3279
422	2399	3273
423	2404	3266
424	2408	3259
425	2414	3253
426	2419	3246
427	2424	3239
428	2429	3233
429	2434	3227
430	2439	3220
431	2444	3213
432	2449	3207
433	2453	3200
434	2458	3192
435	2463	3186
436	2468	3179
437	2472	3172
438	2477	3166
439	2483	3160
440	2488	3153
441	2493	3147
442	2498	3140
443	2502	3134
444	2507	3126
445	2511	3119
446	2516	3113
447	2520	3106
448	2525	3098
449	2530	3093
450	2535	3086
451	2540	3079
452	2545	3074
453	2550	3067
454	2555	3060
455	2560	3054
456	2565	3048
457	2570	3041
458	2574	3034
459	2580	3028
460	2584	3022
461	2589	3015
462	2594	3009
463	2599	3002
464	2604	2996
465	2609	2989
466	2614	2983
467	2618	2976
468	2623	2970
469	2628	2964
470	2633	2957
471	2637	2950
472	2642	2944
473	2647	2937
474	2651	2931
475	2656	2924
476	2661	2918
477	2666	2911
478	2670	2904
479	2675	2898
480	2680	2892
481	2684	2885
482	2689	2878
483	2694	2873
484	2699	2866
485	2703	2859
486	2709	2853
487	2714	2847
488	2718	2840
489	2723	2834
490	2728	2828
491	2733	2822
492	2737	2815
493	2743	2810
494	2748	2803
495	2752	2797
496	2757	2791
497	2762	2784
498	2766	2777
499	2771	2771
500	2776	2765
501	2781	2759
502	2785	2752
503	2791	2746
504	2796	2740
505	2800	2734
506	2805	2728
507	2810	2722
508	2815	2715
509	2819	2709
510	2825	2703
511	2829	2697
512	2834	2690
513	2839	2684
514	2844	2679
515	2849	2672
516	2853	2666
517	2859	2660
518	2863	2654
519	2868	2647
520	2873	2641
521	2877	2635
522	2882	2628
523	2888	2623
524	2893	2617
525	2897	2611
526	2902	2605
527	2908	2599
528	2912	2593
529	2917	2587
530	2922	2581
531	2927	2575
532	2931	2568
533	2936	2562
534	2941	2556
535	2946	2550
536	2950	2543
537	2956	2538
538	2960	2532
539	2965	2526
540	2970	2520
541	2975	2514
542	2980	2508
543	2985	2502
544	2990	2496
545	2994	2490
546	2999	2483
547	3004	2478
548	3009	2472
549	3014	2466
550	3019	2460
551	3024	2454
552	3029	2448
553	3033	2442
554	3038	2436
555	3043	2430
556	3047	2424
557	3053	2418
558	3057	2412
559	3062	2406
560	3067	2400
561	3072	2394
562	3077	2388
563	3081	2382
564	3087	2376
565	3091	2370
566	3096	2364
567	3101	2358
568	3106	2353
569	3111	2347
570	3116	2341
571	3121	2335
572	3126	2329
573	3131	2323
574	3136	2318
575	3141	2312
576	3146	2306
577	3151	2300
578	3156	2295
579	3161	2289
580	3167	2284
581	3172	2278
582	3176	2272
583	3181	2266
584	3186	2260
585	3190	2254
586	3195	2248
587	3200	2242
588	3205	2236
589	3210	2230
590	3214	2224
591	3220	2219
592	3224	2213
593	3229	2207
594	3234	2201
595	3238	2195
596	3243	2189
597	3247	2183
598	3252	2177
599	3257	2171
600	3262	2165
601	3267	2160
602	3272	2154
603	3276	2148
604	3281	2142
605	3286	2136
606	3291	2130
607	3295	2124
608	3301	2119
609	3306	2113
610	3310	2107
611	3316	2102
612	3321	2096
613	3325	2090
614	3330	2084
615	3335	2079
616	3340	2073
617	3344	2067
618	3350	2061
619	3354	2056
620	3359	2050
621	3364	2044
622	3369	2039
623	3374	2033
624	3378	2027
625	3384	2021
626	3388	2015
627	3393	2009
628	3398	2004
629	3403	1998
630	3407	1992
631	3412	1987
632	3418	1981
633	3423	1976
634	3428	1970
635	3434	1965
636	3438	1959
637	3443	1953
638	3448	1948
639	3453	1942
640	3458	1936
641	3463	1931
642	3468	1925
643	3472	1919
644	3477	1913
645	3482	1908
646	3487	1902
647	3491	1896
648	3497	1891
649	3501	1885
650	3506	1879
651	3511	1874
652	3517	1868
653	3521	1863
654	3526	1857
655	3533	1852
656	3538	1847
657	3543	1841
658	3548	1836
659	3553	1830
660	3557	1824
661	3562	1818
662	3567	1813
663	3571	1807
664	3576	1801
665	3581	1796
666	3586	1790
667	3591	1785
668	3597	1779
669	3601	1774
670	3606	1768
671	3611	1762
672	3616	1757
673	3620	1751
674	3625	1745
675	3630	1740
676	3635	1734
677	3639	1728
678	3645	1723
679	3650	1717
680	3655	1712
681	3659	1706
682	3665	1701
683	3669	1695
684	3674	1689
685	3680	1684
686	3685	1679
687	3689	1673
688	3694	1667
689	3699	1662
690	3704	1656
691	3709	1650
692	3714	1645
693	3718	1639
694	3723	1633
695	3728	1628
696	3733	1622
697	3737	1617
698	3743	1611
699	3748	1606
700	3752	1600
701	3757	1595
702	3762	1589
703	3767	1583
704	3771	1578
705	3777	1573
706	3782	1567
707	3786	1561
708	3791	1556
709	3796	1550
710	3800	1544
711	3805	1539
712	3810	1533
713	3815	1528
714	3819	1522
715	3824	1517
716	3829	1511
717	3834	1505
718	3838	1500
719	3844	1494
720	3848	1489
721	3853	1483
722	3858	1478
723	3863	1472
724	3867	1467
725	3872	1461
726	3877	1456
727	3882	1450
728	3886	1444
729	3891	1439
730	3897	1434
731	3902	1428
732	3908	1423
733	3913	1418
734	3917	1412
735	3924	1407
736	3928	1402
737	3933	1396
738	3938	1391
739	3944	1385
740	3948	1380
741	3953	1374
742	3959	1369
743	3964	1364
744	3969	1358
745	3974	1353
746	3979	1347
747	3984	1342
748	3989	1336
749	3994	1331
750	3998	1325
751	4003	1320
752	4008	1314
753	4013	1309
754	4018	1303
755	4023	1298
756	4027	1292
757	4032	1287
758	4036	1281
759	4041	1276
760	4046	1270
761	4051	1265
762	4056	1260
763	4061	1254
764	4065	1248
765	4070	1243
766	4076	1238
767	4081	1232
768	4085	1227
769	4091	1221
770	4095	1216
771	4100	1211
772	4105	1205
773	4110	1200
774	4115	1194
775	4120	1189
776	4125	1183
777	4129	1178
778	4134	1172
779	4139	1167
780	4144	1162
781	4148	1156
782	4153	1151
783	4158	1145
784	4163	1140
785	4168	1134
786	4174	1129
787	4180	1124
788	4185	1119
789	4191	1114
790	4197	1109
791	4202	1103
792	4208	1098
793	4213	1093
794	4217	1087
795	4227	1083
796	4232	1078
797	4239	1073
798	4244	1067
799	4249	1062
800	4255	1057
801	4260	1051
802	4265	1046
803	4270	1041
804	4275	1035
805	4280	1030
806	4285	1024
807	4291	1019
808	4296	1014
809	4301	1008
810	4306	1003
811	4310	998
812	4315	992
813	4320	987
814	4325	981
815	4329	976
816	4335	971
817	4341	965
818	4345	960
819	4351	955
820	4355	949
821	4360	944
822	4364	938
823	4370	933
824	4375	928
825	4379	922
826	4384	917
827	4389	911
828	4393	906
829	4398	900
830	4404	895
831	4409	890
832	4413	884
833	4419	879
834	4424	874
835	4428	868
836	4434	863
837	4438	858
838	4443	852
839	4448	847
840	4453	841
841	4457	836
842	4462	831
843	4467	825
844	4472	820
845	4477	814
846	4482	809
847	4487	804
848	4491	798
849	4496	793
850	4502	788
851	4506	782
852	4511	777
853	4516	772
854	4521	766
855	4525	761
856	4531	756
857	4536	750
858	4540	745
859	4544	739
860	4550	734
861	4554	729
862	4559	723
863	4564	718
864	4568	713
865	4573	707
866	4577	702
867	4583	697
868	4588	691
869	4593	686
870	4598	681
871	4603	675
872	4608	670
873	4613	665
874	4618	659
875	4622	654
876	4627	648
877	4632	643
878	4637	638
879	4641	632
880	4646	627
881	4651	622
882	4656	616
883	4660	611
884	4666	606
885	4671	601
886	4675	595
887	4680	590
888	4685	585
889	4690	579
890	4695	574
891	4700	569
892	4704	563
893	4709	558
894	4714	553
895	4719	547
896	4723	542
897	4729	537
898	4733	531
899	4738	526
900	4743	521
901	4748	515
902	4753	510
903	4757	505
904	4763	500
905	4767	494
906	4772	489
907	4777	484
908	4782	478
909	4787	473
910	4791	468
911	4797	462
912	4801	457
913	4806	452
914	4811	446
915	4816	441
916	4820	436
917	4825	431
918	4830	425
919	4835	420
920	4839	415
921	4844	409
922	4849	404
923	4854	399
924	4859	394
925	4864	388
926	4870	383
927	4878	378
928	4885	373
929	4890	368
930	4898	363
931	4903	357
932	4909	352
933	4915	347
934	4921	342
935	4928	336
936	4934	331
937	4939	326
938	4947	321
939	4953	316
940	4959	310
941	4965	305
942	4970	300
943	4977	295
944	4982	289
945	4988	284
946	4994	279
947	5000	274
948	5005	269
949	5011	263
950	5017	258
951	5022	253
952	5029	248
953	5033	242
954	5038	237
955	5044	232
956	5050	226
957	5056	221
958	5061	216
959	5066	211
960	5072	205
961	5078	200
962	5082	195
963	5087	190
964	5093	184
965	5098	179
966	5102	174
967	5108	168
968	5112	163
969	5117	158
970	5123	153
971	5128	147
972	5133	142
973	5138	137
974	5143	131
975	5147	126
976	5152	121
977	5157	116
978	5162	110
979	5167	105
980	5172	100
981	5177	94
982	5181	89
983	5186	84
984	5191	79
985	5196	73
986	5201	68
987	5207	63
988	5212	57
989	5216	52
990	5222	47
991	5227	42
992	5232	36
993	5237	31
994	5242	26
995	5246	21
996	5251	15
997	5256	10
998	5261	5
999	5266	0
